Pagina,Seccion,FamiliasVisibles,FamiliasImportadas,FamiliasExcluidas,FilasCatalogoVisibles,VariantesExcel,PreciosFijos,PorCotizar,Observacion
15,Línea Moto,0,0,0,0,0,0,0,Portada de Línea Moto; sin productos.
16,Línea Moto,0,0,0,0,0,0,0,Página QR/índice; sin productos.
17,Línea Moto,2,1,1,18,8,4,4,Excluida: TUERCA HEXAGONAL MÉTRICA RF.
18,Línea Moto,1,1,0,30,30,15,15,
19,Línea Moto,2,2,0,7,7,5,2,
20,Línea Moto,1,1,0,11,11,6,5,
21,Línea Moto,4,4,0,14,14,14,0,
22,Línea Moto,1,1,0,25,50,45,5,
23,Línea Moto,1,0,0,27,54,50,4,Continuación de PERNO EJE DE MOTO CL. 5.8 Y CL. 8.8 PAVONADO iniciada en p. 22.
24,Línea Moto,3,3,0,14,14,14,0,
25,Línea Moto,4,3,1,13,19,3,16,Excluida: PERNO DE RUEDA MOTOCARGUERO CAB. 1/2 LUNA C./LISO CL. 10.9.
26,Línea Moto,2,2,0,78,78,77,1,
27,Línea Moto,2,2,0,57,57,57,0,
